recording_index,channel_index,stimulus_V,time_point,amplitude_mV
0,1,0.32,-1.0,0.0030060934
0,1,0.32,-0.9000000000000057,-0.0015719575
0,1,0.32,-0.7999999999999972,0.00059892767
0,1,0.32,-0.7000000000000028,0.0034439291
0,1,0.32,-0.5999999999999943,0.0032218108
0,1,0.32,-0.5,0.0045348913
0,1,0.32,-0.4000000000000057,0.005376991
0,1,0.32,-0.29999999999999716,0.0028328793
0,1,0.32,-0.20000000000000284,-0.00042395474
0,1,0.32,-0.09999999999999432,-0.0009787665
0,1,0.32,0.0,0.0040438306
0,1,0.32,0.09999999999999432,0.011063787
0,1,0.32,0.20000000000000284,0.012650451
0,1,0.32,0.29999999999999716,0.009866317
0,1,0.32,0.4000000000000057,0.0075251213
0,1,0.32,0.5,0.007842742
0,1,0.32,0.5999999999999943,0.00907112
0,1,0.32,0.7000000000000028,0.0065470454
0,1,0.32,0.7999999999999972,0.0052090036
0,1,0.32,0.9000000000000057,0.0073566423
0,1,0.32,1.0,0.00083934865
0,1,0.32,1.0999999999999943,-0.0088237515
0,1,0.32,1.2000000000000028,-0.005277724
0,1,0.32,1.2999999999999972,0.00044726898
0,1,0.32,1.4000000000000057,-0.0033209557
0,1,0.32,1.5,-0.004939042
0,1,0.32,1.5999999999999943,-0.0006768839
0,1,0.32,1.7000000000000028,0.00010408552
0,1,0.32,1.7999999999999972,-0.0032143246
0,1,0.32,1.9000000000000057,-0.004503439
0,1,0.32,2.0,-0.0016327738
0,1,0.32,2.0999999999999943,0.00033401893
0,1,0.32,2.200000000000003,-0.0022974066
0,1,0.32,2.299999999999997,-0.0036595338
0,1,0.32,2.4000000000000057,-0.003353664
0,1,0.32,2.5,-0.006393159
0,1,0.32,2.5999999999999943,-0.007031118
0,1,0.32,2.700000000000003,-0.004279313
0,1,0.32,2.799999999999997,-0.004095104
0,1,0.32,2.9000000000000057,-0.002331373
0,1,0.32,3.0,0.0008449322
0,1,0.32,3.0999999999999943,-0.00050839444
0,1,0.32,3.200000000000003,-0.0017894552
0,1,0.32,3.299999999999997,0.0009383117
0,1,0.32,3.4000000000000057,0.00285761
0,1,0.32,3.5,7.4128955e-05
0,1,0.32,3.5999999999999943,-0.0049006986
0,1,0.32,3.700000000000003,-0.004761067
0,1,0.32,3.799999999999997,0.0011904298
0,1,0.32,3.9000000000000057,0.0029484276
0,1,0.32,4.0,-0.0024787546
0,1,0.32,4.099999999999994,-0.0062903375
0,1,0.32,4.200000000000003,-0.0046413457
0,1,0.32,4.299999999999997,-0.00081564684
0,1,0.32,4.400000000000006,0.0015122992
0,1,0.32,4.5,0.00032550225
0,1,0.32,4.599999999999994,-0.0006160274
0,1,0.32,4.700000000000003,0.0022520947
